sigma_C sigma_C_100
0.000000 0.000000
0.001315 0.100100
0.002686 0.200200
0.004114 0.300300
0.005599 0.400400
0.007143 0.500501
0.008746 0.600601
0.010409 0.700701
0.012133 0.800801
0.013920 0.900901
0.015768 1.001001
0.017681 1.101101
0.019657 1.201201
0.021699 1.301301
0.023808 1.401401
0.025983 1.501502
0.028225 1.601602
0.030537 1.701702
0.032918 1.801802
0.035369 1.901902
0.037891 2.002002
0.040486 2.102102
0.043153 2.202202
0.045894 2.302302
0.048709 2.402402
0.051600 2.502503
0.054567 2.602603
0.057611 2.702703
0.060733 2.802803
0.063934 2.902903
0.067214 3.003003
0.070575 3.103103
0.074016 3.203203
0.077540 3.303303
0.081147 3.403403
0.084838 3.503504
0.088613 3.603604
0.092473 3.703704
0.096420 3.803804
0.100454 3.903904
0.104575 4.004004
0.108786 4.104104
0.113086 4.204204
0.117476 4.304304
0.121958 4.404404
0.126531 4.504505
0.131198 4.604605
0.135958 4.704705
0.140813 4.804805
0.145764 4.904905
0.150810 5.005005
0.155954 5.105105
0.161195 5.205205
0.166536 5.305305
0.171976 5.405405
0.177516 5.505506
0.183157 5.605606
0.188901 5.705706
0.194747 5.805806
0.200697 5.905906
0.206752 6.006006
0.212912 6.106106
0.219178 6.206206
0.225551 6.306306
0.232032 6.406406
0.238622 6.506507
0.245321 6.606607
0.252131 6.706707
0.259052 6.806807
0.266085 6.906907
0.273230 7.007007
0.280490 7.107107
0.287864 7.207207
0.295353 7.307307
0.302958 7.407407
0.310681 7.507508
0.318521 7.607608
0.326480 7.707708
0.334559 7.807808
0.342758 7.907908
0.351078 8.008008
0.359520 8.108108
0.368084 8.208208
0.376773 8.308308
0.385586 8.408408
0.394524 8.508509
0.403589 8.608609
0.412780 8.708709
0.422100 8.808809
0.431548 8.908909
0.441125 9.009009
0.450833 9.109109
0.460672 9.209209
0.470643 9.309309
0.480747 9.409409
0.490985 9.509510
0.501357 9.609610
0.511864 9.709710
0.522508 9.809810
0.533289 9.909910
0.544207 10.010010
0.555265 10.110110
0.566462 10.210210
0.577799 10.310310
0.589278 10.410410
0.600898 10.510511
0.612662 10.610611
0.624569 10.710711
0.636621 10.810811
0.648819 10.910911
0.661163 11.011011
0.673653 11.111111
0.686292 11.211211
0.699080 11.311311
0.712018 11.411411
0.725105 11.511512
0.738345 11.611612
0.751736 11.711712
0.765281 11.811812
0.778980 11.911912
0.792833 12.012012
0.806842 12.112112
0.821007 12.212212
0.835330 12.312312
0.849811 12.412412
0.864451 12.512513
0.879251 12.612613
0.894212 12.712713
0.909334 12.812813
0.924619 12.912913
0.940067 13.013013
0.955679 13.113113
0.971456 13.213213
0.987400 13.313313
1.003509 13.413413
1.019787 13.513514
1.036233 13.613614
1.052849 13.713714
1.069634 13.813814
1.086591 13.913914
1.103719 14.014014
1.121021 14.114114
1.138496 14.214214
1.156146 14.314314
1.173971 14.414414
1.191972 14.514515
1.210151 14.614615
1.228507 14.714715
1.247043 14.814815
1.265758 14.914915
1.284654 15.015015
1.303731 15.115115
1.322991 15.215215
1.342434 15.315315
1.362062 15.415415
1.381874 15.515516
1.401872 15.615616
1.422057 15.715716
1.442430 15.815816
1.462991 15.915916
1.483742 16.016016
1.504683 16.116116
1.525816 16.216216
1.547140 16.316316
1.568658 16.416416
1.590369 16.516517
1.612276 16.616617
1.634378 16.716717
1.656676 16.816817
1.679172 16.916917
1.701867 17.017017
1.724760 17.117117
1.747854 17.217217
1.771149 17.317317
1.794646 17.417417
1.818346 17.517518
1.842250 17.617618
1.866358 17.717718
1.890673 17.817818
1.915193 17.917918
1.939921 18.018018
1.964857 18.118118
1.990003 18.218218
2.015359 18.318318
2.040926 18.418418
2.066704 18.518519
2.092696 18.618619
2.118902 18.718719
2.145322 18.818819
2.171958 18.918919
2.198811 19.019019
2.225881 19.119119
2.253170 19.219219
2.280678 19.319319
2.308406 19.419419
2.336356 19.519520
2.364527 19.619620
2.392922 19.719720
2.421541 19.819820
2.450385 19.919920
2.479455 20.020020
2.508752 20.120120
2.538276 20.220220
2.568030 20.320320
2.598013 20.420420
2.628226 20.520521
2.658672 20.620621
2.689349 20.720721
2.720261 20.820821
2.751406 20.920921
2.782787 21.021021
2.814405 21.121121
2.846260 21.221221
2.878353 21.321321
2.910685 21.421421
2.943257 21.521522
2.976071 21.621622
3.009127 21.721722
3.042426 21.821822
3.075969 21.921922
3.109756 22.022022
3.143790 22.122122
3.178071 22.222222
3.212600 22.322322
3.247378 22.422422
3.282406 22.522523
3.317685 22.622623
3.353215 22.722723
