sigma_C gamma_100
0.000000 4.478600
0.001315 4.474153
0.002686 4.469708
0.004114 4.465267
0.005599 4.460828
0.007143 4.456391
0.008746 4.451958
0.010409 4.447528
0.012133 4.443100
0.013920 4.438675
0.015768 4.434252
0.017681 4.429833
0.019657 4.425416
0.021699 4.421002
0.023808 4.416591
0.025983 4.412183
0.028225 4.407777
0.030537 4.403375
0.032918 4.398974
0.035369 4.394577
0.037891 4.390183
0.040486 4.385791
0.043153 4.381402
0.045894 4.377016
0.048709 4.372633
0.051600 4.368252
0.054567 4.363874
0.057611 4.359499
0.060733 4.355127
0.063934 4.350758
0.067214 4.346391
0.070575 4.342027
0.074016 4.337666
0.077540 4.333308
0.081147 4.328952
0.084838 4.324599
0.088613 4.320249
0.092473 4.315902
0.096420 4.311558
0.100454 4.307216
0.104575 4.302877
0.108786 4.298541
0.113086 4.294208
0.117476 4.289877
0.121958 4.285549
0.126531 4.281224
0.131198 4.276902
0.135958 4.272583
0.140813 4.268266
0.145764 4.263952
0.150810 4.259641
0.155954 4.255333
0.161195 4.251027
0.166536 4.246724
0.171976 4.242424
0.177516 4.238127
0.183157 4.233833
0.188901 4.229541
0.194747 4.225252
0.200697 4.220966
0.206752 4.216683
0.212912 4.212402
0.219178 4.208125
0.225551 4.203850
0.232032 4.199577
0.238622 4.195308
0.245321 4.191041
0.252131 4.186777
0.259052 4.182516
0.266085 4.178258
0.273230 4.174003
0.280490 4.169750
0.287864 4.165500
0.295353 4.161253
0.302958 4.157008
0.310681 4.152767
0.318521 4.148528
0.326480 4.144292
0.334559 4.140058
0.342758 4.135828
0.351078 4.131600
0.359520 4.127375
0.368084 4.123153
0.376773 4.118934
0.385586 4.114717
0.394524 4.110503
0.403589 4.106292
0.412780 4.102084
0.422100 4.097878
0.431548 4.093676
0.441125 4.089476
0.450833 4.085278
0.460672 4.081084
0.470643 4.076892
0.480747 4.072704
0.490985 4.068518
0.501357 4.064334
0.511864 4.060154
0.522508 4.055976
0.533289 4.051801
0.544207 4.047629
0.555265 4.043460
0.566462 4.039293
0.577799 4.035129
0.589278 4.030968
0.600898 4.026810
0.612662 4.022654
0.624569 4.018502
0.636621 4.014352
0.648819 4.010204
0.661163 4.006060
0.673653 4.001919
0.686292 3.997780
0.699080 3.993644
0.712018 3.989510
0.725105 3.985380
0.738345 3.981252
0.751736 3.977127
0.765281 3.973005
0.778980 3.968886
0.792833 3.964769
0.806842 3.960655
0.821007 3.956544
0.835330 3.952436
0.849811 3.948331
0.864451 3.944228
0.879251 3.940128
0.894212 3.936031
0.909334 3.931937
0.924619 3.927845
0.940067 3.923756
0.955679 3.919670
0.971456 3.915587
0.987400 3.911506
1.003509 3.907429
1.019787 3.903354
1.036233 3.899282
1.052849 3.895212
1.069634 3.891146
1.086591 3.887082
1.103719 3.883021
1.121021 3.878963
1.138496 3.874907
1.156146 3.870855
1.173971 3.866805
1.191972 3.862758
1.210151 3.858713
1.228507 3.854672
1.247043 3.850633
1.265758 3.846597
1.284654 3.842564
1.303731 3.838533
1.322991 3.834506
1.342434 3.830481
1.362062 3.826459
1.381874 3.822439
1.401872 3.818423
1.422057 3.814409
1.442430 3.810398
1.462991 3.806390
1.483742 3.802384
1.504683 3.798382
1.525816 3.794382
1.547140 3.790385
1.568658 3.786390
1.590369 3.782399
1.612276 3.778410
1.634378 3.774424
1.656676 3.770441
1.679172 3.766460
1.701867 3.762483
1.724760 3.758508
1.747854 3.754536
1.771149 3.750566
1.794646 3.746600
1.818346 3.742636
1.842250 3.738675
1.866358 3.734717
1.890673 3.730762
1.915193 3.726809
1.939921 3.722859
1.964857 3.718912
1.990003 3.714968
2.015359 3.711026
2.040926 3.707087
2.066704 3.703151
2.092696 3.699218
2.118902 3.695288
2.145322 3.691360
2.171958 3.687435
2.198811 3.683513
2.225881 3.679594
2.253170 3.675677
2.280678 3.671764
2.308406 3.667853
2.336356 3.663945
2.364527 3.660039
2.392922 3.656137
2.421541 3.652237
2.450385 3.648340
2.479455 3.644445
2.508752 3.640554
2.538276 3.636665
